,chr,start,end,width,strand,gene_id,gene_name,gene_biotype,seq_coord_system,description,gene_id_version,canonical_transcript,symbol,entrezid,n_cells_by_counts,mean_counts,log1p_mean_counts,pct_dropout_by_counts,total_counts,log1p_total_counts,n_nas,gene_weight,gene_weight_abs
ENSG00000201810,3,180542701,180542836,136,+,ENSG00000201810,U8,snoRNA,chromosome,U8 small nucleolar RNA [Source:RFAM;Acc:RF00096],ENSG00000201810.1,ENST00000364940,U8,,1813,0.24357041599938833,0.21798660991932875,0.055126791620729865,441.83673462289045,6.093201157246463,0,-5.272453680465702,5.272453680465702
ENSG00000264040,18,67602692,67603022,331,-,ENSG00000264040,,processed_pseudogene,chromosome,fibrous sheath CABYR binding protein (FSCB) pseudogene,ENSG00000264040.1,ENST00000580252,,,1813,0.31654586734232365,0.2750115397136837,0.055126791620729865,574.214203358975,6.354742499007005,0,-4.9639363923960325,4.9639363923960325
ENSG00000241891,14,81777016,81777613,598,-,ENSG00000241891,RPL9P6,processed_pseudogene,chromosome,ribosomal protein L9 pseudogene 6 [Source:HGNC Symbol;Acc:HGNC:19798],ENSG00000241891.1,ENST00000492764,RPL9P6,,1813,0.27339736616827964,0.2416884202527086,0.055126791620729865,495.94282222925926,6.208474973661971,0,-4.704799872069856,4.704799872069856
ENSG00000266676,10,129843299,129843374,76,-,ENSG00000266676,MIR4297,miRNA,chromosome,microRNA 4297 [Source:HGNC Symbol;Acc:HGNC:38393],ENSG00000266676.1,ENST00000579857,MIR4297,100422873,1810,0.3689380582752161,0.3140352993186327,0.22050716648290836,669.2536377112419,6.507656204495957,0,-4.667063564708002,4.667063564708002
ENSG00000238653,1,64384398,64384459,62,-,ENSG00000238653,RNU7-62P,snRNA,chromosome,"RNA, U7 small nuclear 62 pseudogene [Source:HGNC Symbol;Acc:HGNC:34158]",ENSG00000238653.1,ENST00000458856,RNU7-62P,,1814,0.1888027941656242,0.17294674538709495,0.0,342.4882686164423,5.839152958579754,0,-4.398157787305662,4.398157787305662
ENSG00000227149,2,140216997,140217239,243,-,ENSG00000227149,MTCO1P44,processed_pseudogene,chromosome,MT-CO1 pseudogene 44 [Source:HGNC Symbol;Acc:HGNC:52109],ENSG00000227149.1,ENST00000441935,MTCO1P44,,1813,0.23386049597518435,0.21014786882931166,0.055126791620729865,424.2229396989844,6.052613595386429,0,-4.269158904757683,4.269158904757683
ENSG00000227234,X,141002594,141003706,1113,+,ENSG00000227234,SPANXB1,protein_coding,chromosome,SPANX family member B1 [Source:HGNC Symbol;Acc:HGNC:14329],ENSG00000227234.2,ENST00000449283,SPANXB1,728695,1813,0.23511286924216473,0.2111623580028559,0.055126791620729865,426.4947448052868,6.057941995448127,0,-4.065176556379511,4.065176556379511
ENSG00000248106,5,140764110,140764821,712,+,ENSG00000248106,,processed_pseudogene,chromosome,zinc finger protein 470 pseudogene,ENSG00000248106.2,ENST00000505332,,,1813,0.46456946312630215,0.38156131745225497,0.055126791620729865,842.7290061111121,6.737831360231097,0,3.98373435681646,3.98373435681646
ENSG00000283372,15,98026042,98026139,98,+,ENSG00000283372,U6,snRNA,chromosome,U6 spliceosomal RNA [Source:RFAM;Acc:RF00026],ENSG00000283372.1,ENST00000637737,U6,,1813,0.31205242428534674,0.27159264725817933,0.055126791620729865,566.063097653619,6.3404705808759365,0,-3.732879054668056,3.732879054668056
ENSG00000221442,7,147378017,147378121,105,-,ENSG00000221442,MIR548F4,miRNA,chromosome,microRNA 548f-4 [Source:HGNC Symbol;Acc:HGNC:35308],ENSG00000221442.1,ENST00000408515,MIR548F4,100313895,1811,0.21496208901749328,0.19471287385096703,0.1653803748621785,389.9412294777328,5.968557240446858,0,3.7186408517527205,3.7186408517527205
