,chr,start,end,width,strand,gene_id,gene_name,gene_biotype,seq_coord_system,description,gene_id_version,canonical_transcript,symbol,entrezid,n_cells_by_counts,mean_counts,log1p_mean_counts,pct_dropout_by_counts,total_counts,log1p_total_counts,n_nas,gene_weight,gene_weight_abs
ENSG00000264101,1,5862672,5862741,70,-,ENSG00000264101,MIR4689,miRNA,chromosome,microRNA 4689 [Source:HGNC Symbol;Acc:HGNC:41895],ENSG00000264101.1,ENST00000582517,MIR4689,100616421,1813,0.3320509239131299,0.28671980255341845,0.055126791620729865,602.3403759784177,6.402481508416039,0,1.513143937424149,1.513143937424149
ENSG00000266421,4,85722468,85722533,66,+,ENSG00000266421,MIR4451,miRNA,chromosome,microRNA 4451 [Source:HGNC Symbol;Acc:HGNC:41858],ENSG00000266421.3,ENST00000580577,MIR4451,100616349,1813,0.3652630893653325,0.3113471495268414,0.055126791620729865,662.5872441087132,6.497660335872216,0,-1.3316161967219313,1.3316161967219313
ENSG00000280020,17,32178946,32180074,1129,-,ENSG00000280020,,TEC,chromosome,TEC,ENSG00000280020.1,ENST00000623905,,,1813,0.3662022445477873,0.3120348062272965,0.055126791620729865,664.2908716096862,6.500224345940779,0,-1.3185019695286797,1.3185019695286797
ENSG00000200259,19,49491175,49491260,86,+,ENSG00000200259,SNORD35A,snoRNA,chromosome,"small nucleolar RNA, C/D box 35A [Source:HGNC Symbol;Acc:HGNC:10162]",ENSG00000200259.1,ENST00000363389,SNORD35A,26816,1813,0.9663245916461509,0.6761661106637555,0.055126791620729865,1752.9128092461178,7.4696044620307225,0,-1.243498878136365,1.243498878136365
ENSG00000273765,12,48360920,48361377,458,+,ENSG00000273765,,lncRNA,chromosome,novel transcript,ENSG00000273765.1,ENST00000618746,,,1813,0.2978318018958583,0.26069502737061173,0.055126791620729865,540.2668886390869,6.293912481858231,0,1.2366371818193471,1.2366371818193471
ENSG00000258469,14,55298644,55299231,588,+,ENSG00000258469,CHMP4BP1,processed_pseudogene,chromosome,charged multivesicular body protein 4B pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:43616],ENSG00000258469.1,ENST00000556017,CHMP4BP1,,1813,0.5720999870009313,0.45241229694672946,0.055126791620729865,1037.7893764196895,6.9458112529550995,0,-1.1830561488688849,1.1830561488688849
ENSG00000277502,2,206160843,206161024,182,+,ENSG00000277502,,misc_RNA,chromosome,,ENSG00000277502.1,ENST00000617802,,,1812,1.3919350767358574,0.8721026938872035,0.11025358324145973,2524.970229198845,7.834380517092308,0,-1.1614878657904326,1.1614878657904326
ENSG00000271385,10,91464578,91464708,131,-,ENSG00000271385,,processed_pseudogene,chromosome,transmembrane protein 230 (TMEM230) pseudogene,ENSG00000271385.1,ENST00000604630,,,1813,0.4857362484303874,0.3959104395801283,0.055126791620729865,881.1255546527227,6.782334398089648,0,-1.127167287326862,1.127167287326862
ENSG00000199638,10,68461407,68461525,119,+,ENSG00000199638,RNA5SP319,rRNA_pseudogene,chromosome,"RNA, 5S ribosomal pseudogene 319 [Source:HGNC Symbol;Acc:HGNC:43219]",ENSG00000199638.1,ENST00000362768,RNA5SP319,,1813,0.28023716284511935,0.2470453442414126,0.055126791620729865,508.3502134010465,6.233135822003391,0,-1.1167106353457519,1.1167106353457519
ENSG00000207744,2,176150303,176150412,110,+,ENSG00000207744,MIR10B,miRNA,chromosome,microRNA 10b [Source:HGNC Symbol;Acc:HGNC:31498],ENSG00000207744.1,ENST00000385011,MIR10B,406903,1813,0.568307023745017,0.4499967087205634,0.055126791620729865,1030.9089410734607,6.939165706754603,0,-1.1149028562659478,1.1149028562659478
ENSG00000206739,22,19045256,19045367,112,+,ENSG00000206739,Y_RNA,misc_RNA,chromosome,Y RNA [Source:RFAM;Acc:RF00019],ENSG00000206739.1,ENST00000384012,Y_RNA,,1813,0.4760108088626223,0.38934304922912455,0.055126791620729865,863.4836072767969,6.762132342857729,0,-1.1005553422765828,1.1005553422765828
ENSG00000266203,1,32086949,32087007,59,+,ENSG00000266203,MIR5585,miRNA,chromosome,microRNA 5585 [Source:HGNC Symbol;Acc:HGNC:43452],ENSG00000266203.1,ENST00000577515,MIR5585,100847018,1814,0.3902065911127109,0.32945236279853873,0.0,707.8347562784576,6.563622433470247,0,-1.0686774173749507,1.0686774173749507
ENSG00000284138,1,42952202,42952641,440,-,ENSG00000284138,ATP6V0CP4,processed_pseudogene,chromosome,ATPase H+ transporting V0 subunit c pseudogene 4 [Source:HGNC Symbol;Acc:HGNC:40002],ENSG00000284138.1,ENST00000639582,ATP6V0CP4,,1814,0.8647690450946177,0.6231372090170249,0.0,1568.6910478016366,7.358634094137955,0,-1.0608505328186268,1.0608505328186268
ENSG00000252456,17,4056756,4056876,121,-,ENSG00000252456,RNA5SP434,rRNA_pseudogene,chromosome,"RNA, 5S ribosomal pseudogene 434 [Source:HGNC Symbol;Acc:HGNC:43334]",ENSG00000252456.1,ENST00000516647,RNA5SP434,,1812,0.42730847070788175,0.3557904824134442,0.11025358324145973,775.1375658640975,6.654329780069821,0,-1.0457966661282845,1.0457966661282845
ENSG00000276563,1,178017127,178017343,217,+,ENSG00000276563,,processed_pseudogene,chromosome,ubiquitin-conjugating enzyme E2K (UBE2K) pseudogene,ENSG00000276563.1,ENST00000613288,,,1814,0.4683289869418555,0.38412501063065013,0.0,849.5487823125259,6.745881767407428,0,1.0352615972365213,1.0352615972365213
ENSG00000221216,1,28481362,28481480,119,+,ENSG00000221216,RNU6ATAC27P,snRNA,chromosome,"RNA, U6atac small nuclear 27, pseudogene [Source:HGNC Symbol;Acc:HGNC:46926]",ENSG00000221216.1,ENST00000408289,RNU6ATAC27P,,1814,0.4817412571197151,0.39321792129365385,0.0,873.8786404151632,6.7740851800699575,0,-1.0318027051481717,1.0318027051481717
ENSG00000252329,11,12904817,12904988,172,-,ENSG00000252329,,scaRNA,chromosome,,ENSG00000252329.1,ENST00000516520,,,1813,0.2852134231365901,0.2509247926001299,0.055126791620729865,517.3771495697745,6.250703065304559,0,-1.0288892738104536,1.0288892738104536
ENSG00000207087,2,43091388,43091494,107,-,ENSG00000207087,RNU6-242P,snRNA,chromosome,"RNA, U6 small nuclear 242, pseudogene [Source:HGNC Symbol;Acc:HGNC:47205]",ENSG00000207087.1,ENST00000384359,RNU6-242P,,1814,0.3263892456008549,0.28246039740526907,0.0,592.0700915199508,6.38531259019154,0,1.0241892076299584,1.0241892076299584
ENSG00000213872,3,25749488,25749896,409,+,ENSG00000213872,RPL32P11,processed_pseudogene,chromosome,ribosomal protein L32 pseudogene 11 [Source:HGNC Symbol;Acc:HGNC:35723],ENSG00000213872.3,ENST00000458542,RPL32P11,,1813,0.5260605845423144,0.42268963360911754,0.055126791620729865,954.2739003597584,6.861998106018995,0,-1.0072350979442155,1.0072350979442155
ENSG00000236266,1,7810242,7827342,17101,-,ENSG00000236266,,lncRNA,chromosome,novel transcript,ENSG00000236266.1,ENST00000451646,,,1814,0.4666311672739767,0.38296804783180155,0.0,846.4689374349937,6.742254186588797,0,1.006973770589689,1.006973770589689
ENSG00000200959,5,139278781,139278978,198,+,ENSG00000200959,SNORA74A,snoRNA,chromosome,"small nucleolar RNA, H/ACA box 74A [Source:HGNC Symbol;Acc:HGNC:10119]",ENSG00000200959.1,ENST00000364089,SNORA74A,26821,1813,0.5214996020139151,0.41969642878003693,0.055126791620729865,946.0002780532419,6.853299386800863,0,1.0007873948456247,1.0007873948456247
ENSG00000266751,5,134225757,134225852,96,+,ENSG00000266751,MIR3661,miRNA,chromosome,microRNA 3661 [Source:HGNC Symbol;Acc:HGNC:38892],ENSG00000266751.1,ENST00000577394,MIR3661,100500905,1808,2.5196360422580013,1.2583575871783634,0.3307607497243681,4570.619780656014,8.427622858870327,0,1.0000324089530168,1.0000324089530168
ENSG00000207721,1,71067631,71067716,86,-,ENSG00000207721,MIR186,miRNA,chromosome,microRNA 186 [Source:HGNC Symbol;Acc:HGNC:31557],ENSG00000207721.1,ENST00000384988,MIR186,406962,1813,0.44233339750444417,0.3662622170658163,0.055126791620729865,802.3927830730618,6.688843738903831,0,0.9842741020964331,0.9842741020964331
ENSG00000206822,14,63621760,63621871,112,+,ENSG00000206822,Y_RNA,misc_RNA,chromosome,Y RNA [Source:RFAM;Acc:RF00019],ENSG00000206822.1,ENST00000384095,Y_RNA,,1813,0.38733555693081834,0.3273850420873573,0.055126791620729865,702.6267002725044,6.556247960228248,0,-0.977940102971307,0.977940102971307
ENSG00000265972,1,145992435,145996579,4145,-,ENSG00000265972,TXNIP,protein_coding,chromosome,thioredoxin interacting protein [Source:HGNC Symbol;Acc:HGNC:16952],ENSG00000265972.6,ENST00000582401,TXNIP,10628,1814,2.3308646500996892,1.2032319249725005,0.0,4228.188475280836,8.349765403819388,0,0.9648011433463176,0.9648011433463176
ENSG00000279172,19,18009440,18009881,442,-,ENSG00000279172,,TEC,chromosome,TEC,ENSG00000279172.1,ENST00000624199,,,1813,1.3426141695533682,0.851267472279316,0.055126791620729865,2435.50210356981,7.798318725640385,0,0.9581061067640929,0.9581061067640929
ENSG00000238173,1,11232963,11233112,150,+,ENSG00000238173,RPL39P6,processed_pseudogene,chromosome,ribosomal protein L39 pseudogene 6 [Source:HGNC Symbol;Acc:HGNC:35803],ENSG00000238173.1,ENST00000448289,RPL39P6,,1814,0.40863237357959326,0.34261928587040613,0.0,741.2591256733822,6.609698408177092,0,0.9509229844741273,0.9509229844741273
ENSG00000273675,14,50471769,50472592,824,+,ENSG00000273675,,processed_pseudogene,chromosome,zinc finger protein 124 (ZNF124) pseudogene,ENSG00000273675.1,ENST00000614375,,,1813,0.6233632499426177,0.484500077379337,0.055126791620729865,1130.7809353959085,7.0315477200674446,0,0.9434344832408618,0.9434344832408618
ENSG00000222236,4,71759518,71759616,99,-,ENSG00000222236,RNA5SP163,rRNA_pseudogene,chromosome,"RNA, 5S ribosomal pseudogene 163 [Source:HGNC Symbol;Acc:HGNC:43063]",ENSG00000222236.1,ENST00000410304,RNA5SP163,,1813,0.2810285171796053,0.24766328432145918,0.055126791620729865,509.78573016380403,6.235950187518755,0,-0.9335944018781615,0.9335944018781615
